season,team,conference,statName,statValue
2019,San José State,Mountain West,possessionTime,19030
2019,Duke,ACC,passingTDs,18
2019,UCLA,Pac-12,passCompletions,260
2019,South Alabama,Sun Belt,kickReturns,40
2019,Marshall,Conference USA,games,13
2019,Virginia,ACC,fumblesRecovered,10
2019,Oklahoma State,Big 12,interceptions,12
2019,North Carolina,ACC,puntReturns,13
2019,Georgia Tech,ACC,puntReturns,16
2019,Florida State,ACC,possessionTime,20480
2019,Rutgers,Big Ten,possessionTime,21627
2019,Kansas State,Big 12,possessionTime,26090
2019,Charlotte,Conference USA,interceptionYards,101
2019,Eastern Michigan,Mid-American,interceptionYards,137
2019,Miami (OH),Mid-American,firstDowns,216
2019,Bowling Green,Mid-American,sacks,35
2019,West Virginia,Big 12,totalYards,3863
2019,Rice,Conference USA,rushingTDs,14
2019,New Mexico,Mountain West,passingTDs,13
2019,Nebraska,Big Ten,totalYards,4990
2019,Kansas State,Big 12,interceptionTDs,0
2019,Wyoming,Mountain West,passesIntercepted,12
2019,Ohio,Mid-American,passAttempts,335
2019,Oregon State,Pac-12,penalties,78
2019,NC State,ACC,interceptionTDs,0
2019,Utah,Pac-12,puntReturnYards,249
2019,Nebraska,Big Ten,kickReturnYards,420
2019,Memphis,American Athletic,kickReturnYards,1206
2019,Western Michigan,Mid-American,puntReturnTDs,0
2019,Southern Mississippi,Conference USA,fumblesLost,9
2019,Iowa,Big Ten,rushingYards,1789
2019,Pittsburgh,ACC,fourthDownConversions,8
2019,Coastal Carolina,Sun Belt,tacklesForLoss,92
2019,East Carolina,American Athletic,fourthDownConversions,3
2019,Kansas State,Big 12,kickReturnTDs,4
2019,Kansas,Big 12,puntReturnTDs,0
2019,Northwestern,Big Ten,thirdDownConversions,69
2019,Florida International,Conference USA,netPassingYards,2754
2019,Buffalo,Mid-American,interceptionTDs,2
2019,Kent State,Mid-American,passCompletions,238
2019,Cincinnati,American Athletic,puntReturns,31
2019,Arizona,Pac-12,totalYards,5281
2019,Missouri,SEC,interceptions,8
2019,Colorado State,Mountain West,possessionTime,21712
2019,UNLV,Mountain West,passingTDs,20
2019,Nevada,Mountain West,totalYards,4736
2019,Ohio State,Big Ten,games,14
2019,Eastern Michigan,Mid-American,firstDowns,285
2019,Vanderbilt,SEC,thirdDownConversions,48
2019,Notre Dame,FBS Independents,netPassingYards,3278
2019,UT San Antonio,Conference USA,games,12
2019,Memphis,American Athletic,totalYards,6791
2019,New Mexico State,FBS Independents,puntReturnYards,171
2019,Memphis,American Athletic,sacks,42
2019,Auburn,SEC,penalties,92
2019,California,Pac-12,fumblesLost,4
2019,UCLA,Pac-12,rushingYards,1802
2019,Boston College,ACC,rushingYards,3291
