year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2019,Ohio State,Big Ten,35.4,1,,,4,44.4,,,,,,,,,2,10.6,,,,,,,,,,1.6
2019,LSU,SEC,33.1,2,,,1,48.9,,,,,,,,,20,17.7,,,,,,,,,,1.9
2019,Alabama,SEC,32.4,3,,,2,47.7,,,,,,,,,3,14.6,,,,,,,,,,-0.7
2019,Clemson,ACC,28.1,4,,,5,43.5,,,,,,,,,3,14.6,,,,,,,,,,-0.7
2019,Georgia,SEC,26.8,5,,,32,34.2,,,,,,,,,1,10,,,,,,,,,,2.6
2019,Penn State,Big Ten,24.3,6,,,13,37.5,,,,,,,,,10,15.7,,,,,,,,,,2.5
2019,Florida,SEC,24,7,,,11,37.8,,,,,,,,,7,15.5,,,,,,,,,,1.7
2019,Oklahoma,Big 12,22.9,8,,,3,46.1,,,,,,,,,47,24.9,,,,,,,,,,1.7
2019,Auburn,SEC,21,9,,,34,33.9,,,,,,,,,5,14.9,,,,,,,,,,2
2019,Michigan,Big Ten,20.7,10,,,21,35.7,,,,,,,,,11,16,,,,,,,,,,1
2019,Wisconsin,Big Ten,20.3,11,,,12,37.7,,,,,,,,,14,16.4,,,,,,,,,,-0.9
2019,Utah,Pac-12,19.5,12,,,16,36.5,,,,,,,,,16,17,,,,,,,,,,-0.1
2019,Minnesota,Big Ten,19.4,13,,,7,39.8,,,,,,,,,26,19.6,,,,,,,,,,-0.7
2019,UCF,American Athletic,19.1,14,,,14,37.3,,,,,,,,,21,18.1,,,,,,,,,,-0.1
2019,Oregon,Pac-12,19,15,,,22,35.6,,,,,,,,,7,15.5,,,,,,,,,,-1.1
2019,Washington,Pac-12,18.3,16,,,24,35.3,,,,,,,,,24,19.5,,,,,,,,,,2.5
2019,Memphis,American Athletic,18,17,,,8,39.5,,,,,,,,,39,23.4,,,,,,,,,,1.9
2019,Baylor,Big 12,17.8,18,,,27,34.7,,,,,,,,,18,17.3,,,,,,,,,,0.5
2019,Notre Dame,FBS Independents,17.7,19,,,20,35.8,,,,,,,,,22,18.5,,,,,,,,,,0.4
2019,Iowa,Big Ten,16.7,20,,,53,30,,,,,,,,,6,15.2,,,,,,,,,,1.8
2019,Texas A&M,SEC,15,21,,,33,34,,,,,,,,,23,19.4,,,,,,,,,,0.5
2019,USC,Pac-12,13.1,22,,,9,39,,,,,,,,,59,26.7,,,,,,,,,,0.8
2019,Indiana,Big Ten,12.8,23,,,22,35.6,,,,,,,,,41,23.8,,,,,,,,,,1
2019,Iowa State,Big 12,12.6,24,,,42,31.8,,,,,,,,,24,19.5,,,,,,,,,,0.3
2019,Air Force,Mountain West,12.1,25,,,17,36.2,,,,,,,,,53,25.8,,,,,,,,,,1.7
2019,Texas,Big 12,12,26,,,10,38.7,,,,,,,,,67,28.5,,,,,,,,,,1.8
2019,Appalachian State,Sun Belt,11.3,27,,,31,34.3,,,,,,,,,37,23.2,,,,,,,,,,0.2
