id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
401110723,2019,1,regular,2019-08-24T23:00:00.000Z,,Florida,SEC,Miami,ACC,tv,ESPN
401110723,2019,1,regular,2019-08-24T23:00:00.000Z,,Florida,SEC,Miami,ACC,radio,ESPNRM
401114164,2019,1,regular,2019-08-25T02:30:00.000Z,,Hawai'i,Mountain West,Arizona,Pac-12,tv,CBSSN
401111653,2019,1,regular,2019-08-30T00:00:00.000Z,,Clemson,ACC,Georgia Tech,ACC,tv,ACCN
401110731,2019,1,regular,2019-08-30T00:30:00.000Z,,Texas A&M,SEC,Texas State,Sun Belt,tv,SECN
401114223,2019,1,regular,2019-08-30T02:15:00.000Z,,BYU,FBS Independents,Utah,Pac-12,tv,ESPN
401117853,2019,1,regular,2019-08-29T23:30:00.000Z,,UCF,American Athletic,Florida A&M,,tv,CBSSN
401117854,2019,1,regular,2019-08-29T23:00:00.000Z,,Cincinnati,American Athletic,UCLA,Pac-12,tv,ESPN
401117855,2019,1,regular,2019-08-29T23:00:00.000Z,,Connecticut,American Athletic,Wagner,,web,ESPN3
401119254,2019,1,regular,2019-08-29T23:00:00.000Z,,Bowling Green,Mid-American,Morgan State,,web,ESPN3
401119255,2019,1,regular,2019-08-29T23:00:00.000Z,,Buffalo,Mid-American,Robert Morris,,web,ESPN+
401114246,2019,1,regular,2019-08-29T23:30:00.000Z,,Western Kentucky,Conference USA,Central Arkansas,,web,ESPN+
401135910,2019,1,regular,2019-08-29T23:30:00.000Z,,Charlotte,Conference USA,Gardner-Webb,,web,ESPN+
401114236,2019,1,regular,2019-08-30T00:00:00.000Z,,Tulane,American Athletic,Florida International,Conference USA,web,ESPN3
401114237,2019,1,regular,2019-08-30T00:00:00.000Z,,UAB,Conference USA,Alabama State,,web,ESPN+
401119253,2019,1,regular,2019-08-30T00:50:00.000Z,,Central Michigan,Mid-American,Albany,,web,ESPN3
401112229,2019,1,regular,2019-08-30T01:00:00.000Z,,Minnesota,Big Ten,South Dakota State,,tv,FS1
401114153,2019,1,regular,2019-08-30T02:00:00.000Z,,Arizona State,Pac-12,Kent State,Mid-American,tv,PAC12
401112212,2019,1,regular,2019-08-30T23:00:00.000Z,,Michigan State,Big Ten,Tulsa,American Athletic,tv,FS1
401117856,2019,1,regular,2019-08-30T23:55:00.000Z,,South Florida,American Athletic,Wisconsin,Big Ten,tv,ESPN
401114238,2019,1,regular,2019-08-30T22:00:00.000Z,,Army,FBS Independents,Rice,Conference USA,tv,CBSSN
401112264,2019,1,regular,2019-08-30T23:15:00.000Z,,Rutgers,Big Ten,UMass,FBS Independents,tv,BTN
401112430,2019,1,regular,2019-08-31T00:00:00.000Z,,Wake Forest,ACC,Utah State,Mountain West,tv,ACCN
401112262,2019,1,regular,2019-08-31T01:30:00.000Z,,Nevada,Mountain West,Purdue,Big Ten,tv,CBSSN
401114184,2019,1,regular,2019-08-31T02:00:00.000Z,,Colorado,Pac-12,Colorado State,Mountain West,tv,ESPN
401112122,2019,1,regular,2019-08-31T02:30:00.000Z,,Oregon State,Pac-12,Oklahoma State,Big 12,tv,FS1
401110720,2019,1,regular,2019-08-31T19:30:00.000Z,,Alabama,SEC,Duke,ACC,tv,ABC
401110720,2019,1,regular,2019-08-31T19:30:00.000Z,,Alabama,SEC,Duke,ACC,radio,ESPNRM
401110732,2019,1,regular,2019-08-31T23:30:00.000Z,,Vanderbilt,SEC,Georgia,SEC,tv,ESPN
401112251,2019,1,regular,2019-08-31T16:00:00.000Z,,Ohio State,Big Ten,Florida Atlantic,Conference USA,tv,FOX
401110725,2019,1,regular,2019-08-31T23:30:00.000Z,,LSU,SEC,Georgia Southern,Sun Belt,tv,SECN
401112222,2019,1,regular,2019-08-31T23:30:00.000Z,,Michigan,Big Ten,Middle Tennessee,Conference USA,tv,BTN
401112135,2019,1,regular,2019-09-01T00:00:00.000Z,,Texas,Big 12,Louisiana Tech,Conference USA,tv,LHN
401110722,2019,1,regular,2019-08-31T23:30:00.000Z,,Auburn,SEC,Oregon,Pac-12,tv,ABC
401110722,2019,1,regular,2019-08-31T23:30:00.000Z,,Auburn,SEC,Oregon,Pac-12,radio,ESPNRM
401114233,2019,1,regular,2019-08-31T19:00:00.000Z,,Washington,Pac-12,Eastern Washington,,tv,PAC12
401112257,2019,1,regular,2019-08-31T19:30:00.000Z,,Penn State,Big Ten,Idaho,,tv,BTN
401112191,2019,1,regular,2019-08-31T23:30:00.000Z,,Iowa,Big Ten,Miami (OH),Mid-American,tv,FS1
401112085,2019,1,regular,2019-08-31T16:00:00.000Z,,Iowa State,Big 12,Northern Iowa,,tv,FS1
401112434,2019,1,regular,2019-08-31T22:00:00.000Z,,Liberty,FBS Independents,Syracuse,ACC,web,ESPN+
401114228,2019,1,regular,2019-09-01T02:00:00.000Z,,Washington State,Pac-12,New Mexico State,FBS Independents,tv,PAC12
