school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name,hire_date
Temple,2011,13,9,4,0,,,5.4,4.6,26.4,22.5,Steve,Addazio,
Temple,2012,11,4,7,0,,,-4.9,-11.6,21.6,36,Steve,Addazio,
Boston College,2013,13,7,6,0,,,1.5,7.1,32,27,Steve,Addazio,
Boston College,2014,13,7,6,0,,,6.2,4.9,28.7,23.7,Steve,Addazio,
Boston College,2015,12,3,9,0,,,-0.1,4.7,18,12.5,Steve,Addazio,
Boston College,2016,13,7,6,0,,,-2.4,-1.6,20.1,20.8,Steve,Addazio,
Boston College,2017,13,7,6,0,,,11.2,4.6,25.2,19.9,Steve,Addazio,
Boston College,2018,12,7,5,0,,,5.3,2.4,26.5,22.1,Steve,Addazio,
Boston College,2019,12,6,6,0,,,-2.9,-5.7,31.3,35.4,Steve,Addazio,
Kansas,1998,11,4,7,0,,,-1.8,-3.8,31.1,34.6,Terry,Allen,
Kansas,1999,12,5,7,0,,,-7.8,-7.7,28.1,34.6,Terry,Allen,
Kansas,2000,11,4,7,0,,,-5.3,0.7,35.6,35,Terry,Allen,
Kansas,2001,8,2,6,0,,,-10.5,-6.8,30.4,35.9,Terry,Allen,
Indiana,2016,1,0,1,0,,,1.0,4.6,25.1,19.4,Tom,Allen,2016-12-01T00:00:00.000Z
Indiana,2017,12,5,7,0,,,6.0,10.2,28.6,20.2,Tom,Allen,2016-12-01T00:00:00.000Z
Indiana,2018,12,5,7,0,,,1.5,1.6,30.2,29.1,Tom,Allen,2016-12-01T00:00:00.000Z
Indiana,2019,13,8,5,0,,,6.8,12.8,35.6,23.8,Tom,Allen,2016-12-01T00:00:00.000Z
Wisconsin,1998,12,11,1,0,20,6,19.8,22.5,36.7,15.3,Barry,Alvarez,
Wisconsin,1999,12,10,2,0,10,4,21.7,23,38.5,16.9,Barry,Alvarez,
Wisconsin,2000,13,9,4,0,4,23,10.0,14.7,34.2,20.6,Barry,Alvarez,
Wisconsin,2001,12,5,7,0,22,,3.4,8.1,38.5,32.1,Barry,Alvarez,
Wisconsin,2002,14,8,6,0,25,,7.5,12.8,35.7,24.7,Barry,Alvarez,
Wisconsin,2003,13,7,6,0,21,,8.0,11.2,35.7,26.6,Barry,Alvarez,
Wisconsin,2004,12,9,3,0,21,17,8.0,10.5,26.2,16.9,Barry,Alvarez,
Wisconsin,2005,13,10,3,0,,15,13.2,11.1,35.3,24.2,Barry,Alvarez,
Wisconsin,2012,1,0,1,0,12,,12.1,14.5,31.5,15.9,Barry,Alvarez,
Wisconsin,2014,1,1,0,0,14,13,15.3,20.8,38.7,18.1,Barry,Alvarez,
NC State,2000,12,8,4,0,,,3.1,1.2,36.8,35.9,Chuck,Amato,
NC State,2001,12,7,5,0,,,6.8,6.4,31.9,27.1,Chuck,Amato,
NC State,2002,14,11,3,0,,12,16.1,19.2,38.2,20.6,Chuck,Amato,
NC State,2003,13,8,5,0,16,,12.9,17.3,46.2,33.5,Chuck,Amato,
NC State,2004,11,5,6,0,,,7.5,8.1,29.9,23.3,Chuck,Amato,
NC State,2005,12,7,5,0,,,4.4,9.4,22.1,12.7,Chuck,Amato,
NC State,2006,12,3,9,0,,,-4.0,0.2,18.7,19.1,Chuck,Amato,
Toledo,2001,12,10,2,0,,23,1.4,4,37.4,34.4,Tom,Amstutz,
Toledo,2002,14,9,5,0,,,2.1,7.6,40.7,35.1,Tom,Amstutz,
Toledo,2003,12,8,4,0,,,-0.2,-1.1,34.2,34.9,Tom,Amstutz,
Toledo,2004,13,9,4,0,,,-3.1,0.3,39.3,38.7,Tom,Amstutz,
Toledo,2005,12,9,3,0,,,3.9,7.6,32.7,25.1,Tom,Amstutz,
Toledo,2006,12,5,7,0,,,-13.6,-9.6,16.2,26.2,Tom,Amstutz,
Toledo,2007,12,5,7,0,,,-13.8,-12.8,28.8,42.9,Tom,Amstutz,
Toledo,2008,12,3,9,0,,,-14.7,-11.4,22.6,33.1,Tom,Amstutz,
Utah State,2009,12,4,8,0,,,-9.5,-12.7,25.7,37.1,Gary,Andersen,
Utah State,2010,12,4,8,0,,,-12.1,-19.2,17.1,34.4,Gary,Andersen,
Utah State,2011,13,7,6,0,,,-3.0,-0.9,32.7,32.5,Gary,Andersen,
Utah State,2012,13,11,2,0,,16,13.1,11,30.4,20.5,Gary,Andersen,
Wisconsin,2013,13,9,4,0,23,22,18.5,22.4,39.5,15.6,Gary,Andersen,
Wisconsin,2014,13,10,3,0,14,13,15.3,20.8,38.7,18.1,Gary,Andersen,
Oregon State,2015,12,2,10,0,,,-10.8,-10.1,25.9,35.3,Gary,Andersen,
Oregon State,2016,12,4,8,0,,,1.6,-4.6,26.1,30,Gary,Andersen,
Oregon State,2017,6,1,5,0,,,-16.5,-12.6,28.8,39.9,Gary,Andersen,
Utah State,2019,13,7,6,0,,,-5.3,-4.3,26.2,31,Gary,Andersen,
Arkansas State,2014,13,7,6,0,,,-4.9,-0.3,31.5,31.6,Blake,Anderson,
Arkansas State,2015,13,9,4,0,,,-3.2,0.5,30.9,28.4,Blake,Anderson,
Arkansas State,2016,13,8,5,0,,,-1.2,-1.2,21.9,21.1,Blake,Anderson,
Arkansas State,2017,12,7,5,0,,,-2.9,1.5,29.3,28.6,Blake,Anderson,
Arkansas State,2018,13,8,5,0,,,-2.8,1.2,29.9,27.9,Blake,Anderson,
